Company Name,BSE Code,NSE Symbol,Latest Market Cap,Industry
Garware Hi-Tech Films Ltd.,500655,GRWRHITECH," ? 9,297.14 ",Plastic Products
Praj Industries Ltd.,522205,PRAJIND," ? 9,231.09 ",Engineering - Industrial Equipments
Galaxy Surfactants Ltd.,540935,GALAXYSURF," ? 9,225.68 ",Household & Personal Products
VA Tech Wabag Ltd.,533269,WABAG," ? 9,216.00 ",Environmental Services
Lloyds Enterprises Ltd.,512463,LLOYDSENT," ? 9,201.29 ",Trading
Arvind Ltd.,500101,ARVIND," ? 9,194.49 ",Textile
Kama Holdings Ltd.,532468,," ? 9,141.00 ",Finance - Investment
Kirloskar Pneumatic Company Ltd.,505283,KIRLPNU," ? 9,082.70 ",Compressors / Pumps
Aditya Birla Fashion and Retail Ltd.,535755,ABFRL," ? 9,079.12 ",Retailing
Privi Speciality Chemicals Ltd.,530117,PRIVISCL," ? 9,046.92 ",Chemicals
ISGEC Heavy Engineering Ltd.,533033,ISGEC," ? 9,030.90 ",Engineering - Construction
Happy Forgings Ltd.,544057,HAPPYFORGE," ? 9,023.64 ",Forgings
Acutaas Chemicals Ltd.,543349,AMIORG," ? 8,985.93 ",Pharmaceuticals & Drugs
Akums Drugs & Pharmaceuticals Ltd.,544222,AKUMS," ? 8,818.68 ",Pharmaceuticals & Drugs
Metropolis Healthcare Ltd.,542650,METROPOLIS," ? 8,811.50 ",Hospital & Healthcare Services
Rashtriya Chemicals and Fertilizers Ltd.,524230,RCF," ? 8,768.53 ",Fertilizers
Voltamp Transformers Ltd.,532757,VOLTAMP," ? 8,755.36 ",Electric Equipment
Tanla Platforms Ltd.,532790,TANLA," ? 8,694.44 ",IT - Software
Mishra Dhatu Nigam Ltd.,541195,MIDHANI," ? 8,685.08 ",Steel & Iron Products
Cera Sanitaryware Ltd.,532443,CERA," ? 8,683.33 ",Ceramics/Marble/Granite/Sanitaryware
Dodla Dairy Ltd,543306,DODLA," ? 8,672.73 ",Consumer Food
Shilpa Medicare Ltd.,530549,SHILPAMED," ? 8,619.29 ",Pharmaceuticals & Drugs
Bengal & Assam Company Ltd.,533095,," ? 8,590.63 ",Finance - NBFC
KRBL Ltd.,530813,KRBL," ? 8,590.24 ",Consumer Food
TTK Prestige Ltd.,517506,TTKPRESTIG," ? 8,588.82 ",Consumer Durables - Domestic Appliances
Transport Corporation Of India Ltd.,532349,TCI," ? 8,570.99 ",Logistics
Garware Technical Fibres Ltd.,509557,GARFIBRES," ? 8,546.79 ",Textile
Gabriel India Ltd.,505714,GABRIEL," ? 8,506.59 ",Auto Ancillary
Campus Activewear Ltd.,543523,CAMPUS," ? 8,499.31 ",Footwear
RattanIndia Power Ltd.,533122,RTNPOWER," ? 8,484.77 ",Power Generation/Distribution
Star Cement Ltd.,540575,STARCEMENT," ? 8,476.88 ",Cement & Construction Materials
Nesco Ltd.,505355,NESCO," ? 8,443.22 ",Engineering - Industrial Equipments
Latent View Analytics Ltd.,543398,LATENTVIEW," ? 8,424.16 ",Business Support
Tips Music Ltd.,532375,TIPSMUSIC," ? 8,422.18 ","Film Production, Distribution & Entertainment"
CMS Info Systems Ltd.,543441,CMSINFO," ? 8,406.19 ",Business Support
Network 18 Media & Investments Ltd.,532798,NETWORK18," ? 8,365.35 ",TV Broadcasting & Software Production
Transrail Lighting Ltd.,544317,TRANSRAILL," ? 8,364.15 ",Electric Equipment
